Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0,0.000142252,864.8,0,87.98, -,9.295994
0.05,0.000142252,864.8,0,87.98, -,9.295994
0.1,15.52154,864.3,14.7619,87.98, -,9.295994
0.15,24.83748,864,23.61905,87.98, -,9.295994
0.2,34.15605,863.7,32.47619,87.98, -,9.295994
0.25,34.15605,863.7,32.47619,87.98, -,9.295994
0.3,49.69345,863.2,47.28571,87.98, -,9.295994
0.35,62.12939,862.8,59.14286,87.98, -,9.295994
0.4,77.67992,862.3,73.95238,87.98, -,9.295994
0.45,87.01336,862,82.85714,87.98, -,9.295994
0.5,108.8029,861.3,103.619,87.98, -,9.295994
0.55,127.49,860.7,121.4286,87.8, -,9.315441
0.6,143.0712,860.2,136.2857,87.8, -,9.315441
0.65,161.7795,859.6,154.0952,87.8, -,9.315441
0.7,186.7385,858.8,177.8571,87.8, -,9.315441
0.75,208.5938,858.1,198.6667,87.8, -,9.315441
0.8,221.0877,857.7,210.5714,87.8, -,9.315441
0.85,252.3458,856.7,240.3333,87.8, -,9.315441
0.9,283.6335,855.7,270.1429,87.8, -,9.315441
0.95,305.5529,855,291,87.8, -,9.315441
1,330.6206,854.2,314.8571,87.8, -,9.315441
1.05,352.5712,853.5,335.7619,87.8, -,9.315441
1.1,380.815,852.6,362.6667,87.8, -,9.315441
1.15,409.0811,851.7,374.8095,87.8, -,9.315441
1.2,440.5176,850.7,395.9048,87.8, -,9.315441
1.25,468.8367,849.8,414,87.8, -,9.315441
1.3,503.4803,848.7,447,87.8, -,9.315441
1.35,531.8535,847.8,459.1905,87.8, -,9.315441
1.4,569.7217,846.6,483.381,87.8, -,9.315441
1.45,604.4714,845.5,501.6667,87.8, -,9.315441
1.5,642.4231,844.3,528.9048,87.98, -,9.315441
1.55,670.9141,843.4,535.2857,87.98, -,9.315441
1.6,708.9424,842.2,553.7143,87.98, -,9.315441
1.65,737.4929,841.3,566.0476,87.98, -,9.315441
1.7,778.7746,840,587.5714,87.98, -,9.315441
1.75,816.9276,838.8,600.1429,87.98, -,9.315441
1.8,864.6804,837.3,624.8095,87.98, -,9.315441
1.85,899.7425,836.2,646.2857,87.98, -,9.315441
1.9,938.0358,835,653,87.98, -,9.315441
1.95,973.1761,833.9,656.6667,87.98, -,9.315441
2,1017.956,832.5,678.4762,87.98, -,9.315441
2.05,1056.387,831.3,691.2381,87.98, -,9.315441
2.1,1098.071,830,710.0476,87.98, -,9.315441
2.15,1136.596,828.8,719.8095,87.98, -,9.315441
2.2,1178.382,827.5,732.7143,87.98, -,9.315441
2.25,1217.001,826.3,739.5238,87.98, -,9.315441
2.3,1265.339,824.8,758.619,87.98, -,9.315441
2.35,1310.517,823.4,768.6667,87.98, -,9.315441
2.4,1355.759,822,784.7619,87.98, -,9.315441
2.45,1397.824,820.7,788.7619,87.98, -,9.315441
2.5,1439.944,819.4,795.7619,87.98, -,9.315441
2.55,1485.365,818,802.8571,87.8, -,9.315441
2.6,1537.35,816.4,825.2381,87.8, -,9.315441
2.65,1576.395,815.2,826.1905,87.8, -,9.315441
2.7,1622.005,813.8,842.4286,87.8, -,9.315441
2.75,1664.414,812.5,843.4762,87.8, -,9.315441
2.8,1713.416,811,853.8095,87.8, -,9.315441
2.85,1755.943,809.7,848.8571,87.8, -,9.315441
2.9,1791.972,808.6,849.8095,87.8, -,9.315441
2.95,1831.319,807.4,850.8095,87.8, -,9.315441
3,1870.716,806.2,854.8571,87.8, -,9.315441
3.05,1906.872,805.1,846.619,87.8, -,9.315441
3.1,1949.652,803.8,850.7619,87.8, -,9.315441
3.15,1989.191,802.6,848.7143,87.8, -,9.315441
3.2,2025.476,801.5,846.619,87.8, -,9.315441
3.25,2065.108,800.3,844.5714,87.8, -,9.315441
3.3,2104.787,799.1,845.619,87.8, -,9.315441
3.35,2137.89,798.1,831.0952,87.8, -,9.315441
3.4,2171.026,797.1,819.619,87.8, -,9.315441
3.45,2207.514,796,811.2857,87.8, -,9.315441
3.5,2250.69,794.7,812.381,87.98, -,9.315441
3.55,2290.596,793.5,810.2857,87.98, -,9.315441
3.6,2330.551,792.3,805.0952,87.98, -,9.315441
3.65,2367.218,791.2,790.4762,87.98, -,9.315441
3.7,2407.267,790,791.4286,87.98, -,9.315441
3.75,2447.365,788.8,786.1905,87.98, -,9.315441
3.8,2470.778,788.1,768.0952,87.98, -,9.315441
3.85,2521.006,786.6,769.2857,87.98, -,9.315441
3.9,2564.599,785.3,770.2857,87.98, -,9.315441
3.95,2601.531,784.2,771.1429,87.98, -,9.315441
4,2641.869,783,772.0952,87.98, -,9.315441
4.05,2678.889,781.9,769.8095,87.98, -,9.315441
4.1,2722.697,780.6,777.0952,87.98, -,9.315441
4.15,2759.808,779.5,771.6667,87.98, -,9.315441
4.2,2800.344,778.3,772.619,87.98, -,9.315441
4.25,2830.777,777.4,767.0476,87.98, -,9.315441
4.3,2874.79,776.1,771.1905,87.98, -,9.315441
4.35,2912.076,775,768.9048,87.98, -,9.315441
4.4,2952.802,773.8,776.1905,87.98, -,9.315441
4.45,2990.177,772.7,780.2381,87.98, -,9.315441
4.5,3031.001,771.5,784.3333,87.98, -,9.315441
4.55,3068.468,770.4,778.8571,87.8, -,9.334889
4.6,3105.979,769.3,776.5714,87.8, -,9.334889
4.65,3136.7,768.4,767.7619,87.8, -,9.334889
4.7,3181.131,767.1,775.1905,87.8, -,9.334889
4.75,3218.771,766,772.9048,87.8, -,9.334889
4.8,3259.884,764.8,773.8571,87.8, -,9.334889
4.85,3297.616,763.7,787.5238,87.8, -,9.334889
4.9,3331.957,762.7,772.381,87.8, -,9.334889
4.95,3362.895,761.8,760.3333,87.8, -,9.334889
5,3400.747,760.7,761.1905,87.8, -,9.334889
5.05,3438.646,759.6,758.8571,87.8, -,9.334889
5.1,3473.137,758.6,756.4762,87.8, -,9.334889
5.15,3507.664,757.6,747.6667,87.8, -,9.334889
5.2,3545.686,756.5,748.5238,87.8, -,9.334889
